epoch,train_loss,val_loss,val_mae,val_r2,lr,epoch_time,best
1,570.543706,516.331450,28.6315,0.236784,0.00099976,58.01,1
2,245.456714,277.955465,20.8830,0.589140,0.00099902,14.70,1
3,195.095724,334.549335,22.9269,0.505485,0.00099780,14.86,0
4,174.184774,216.817483,18.2842,0.679511,0.00099610,14.72,1
5,159.710656,195.767897,17.4360,0.710625,0.00099391,14.75,1
6,150.797596,206.389185,18.1334,0.694926,0.00099123,14.74,0
7,142.235002,175.165579,16.3966,0.741079,0.00098808,14.77,1
8,136.692728,196.648924,17.5674,0.709323,0.00098445,14.79,0
9,131.782160,181.162822,16.7047,0.732214,0.00098035,14.80,0
10,126.840868,220.827073,18.4820,0.673584,0.00097577,14.75,0
11,119.969881,149.063621,15.0230,0.779661,0.00097074,14.83,1
12,117.843250,190.756700,17.3594,0.718033,0.00096524,14.81,0
13,113.359654,176.897169,16.3982,0.738519,0.00095929,14.90,0
14,110.306821,149.010384,14.9549,0.779740,0.00095289,14.81,1
15,107.033042,174.664866,16.2996,0.741819,0.00094605,14.95,0
16,102.996217,163.726301,15.9206,0.757988,0.00093877,14.86,0
17,99.906415,163.137284,15.6978,0.758858,0.00093107,14.87,0
18,98.607939,151.642364,15.1375,0.775850,0.00092294,14.85,0
19,93.513759,143.863284,14.7733,0.787348,0.00091440,14.94,1
20,90.115742,207.234886,17.7827,0.693676,0.00090546,14.98,0
21,87.693266,156.119696,15.3262,0.769231,0.00089613,15.01,0
22,85.229285,165.856360,15.9234,0.754839,0.00088640,15.10,0
23,82.879557,175.875710,16.4510,0.740029,0.00087630,15.10,0
24,78.990409,166.485751,15.9710,0.753909,0.00086584,15.16,0
25,76.724422,179.140238,16.6677,0.735204,0.00085502,15.07,0
26,74.483348,157.704632,15.5842,0.766889,0.00084385,14.99,0
27,72.328088,178.526797,16.5363,0.736110,0.00083235,14.99,0
28,69.820362,141.182067,14.4591,0.791312,0.00082052,15.10,1
29,68.053190,141.142025,14.3850,0.791371,0.00080839,15.18,1
30,65.601455,166.652884,15.8949,0.753662,0.00079595,15.16,0
31,63.902085,162.487170,15.5034,0.759819,0.00078323,15.28,0
32,62.204800,132.315054,14.0381,0.804418,0.00077023,15.35,1
33,60.642923,144.437284,14.6016,0.786500,0.00075698,15.48,0
34,58.176349,142.289564,14.4353,0.789675,0.00074347,15.39,0
35,56.670254,127.374440,13.6247,0.811721,0.00072973,15.40,1
36,55.649063,146.302101,14.6654,0.783743,0.00071576,15.36,0
37,53.411233,172.170368,16.2269,0.745506,0.00070159,15.27,0
38,52.559271,148.640838,14.9202,0.780286,0.00068722,15.18,0
39,50.769614,132.582526,13.9083,0.804023,0.00067268,12.18,0
40,49.235075,140.991269,14.5039,0.791594,0.00065796,9.92,0
41,47.831748,134.222674,14.0436,0.801599,0.00064310,14.43,0
42,47.442309,139.770627,14.2845,0.793398,0.00062810,14.32,0
43,45.698514,144.314086,14.5462,0.786682,0.00061298,14.20,0
44,44.126047,152.673894,15.1511,0.774325,0.00059775,14.23,0
45,42.918796,162.927942,15.6694,0.759168,0.00058244,14.20,0
46,42.443424,133.743920,14.0221,0.802306,0.00056704,14.22,0
47,41.752163,129.531530,13.7329,0.808533,0.00055158,14.26,0
48,40.077880,138.615231,14.1509,0.795106,0.00053608,14.26,0
49,39.370797,143.897324,14.6577,0.787298,0.00052055,14.26,0
50,39.086838,143.269345,14.5303,0.788226,0.00050500,14.22,0
51,37.577333,137.712941,14.2375,0.796439,0.00048945,11.83,0
52,37.028869,139.520182,14.2877,0.793768,0.00047392,8.21,0
53,35.900493,143.419088,14.4857,0.788005,0.00045842,8.00,0
54,34.753750,128.098581,13.5856,0.810651,0.00044296,7.86,0
55,34.695495,125.695194,13.4642,0.814204,0.00042756,7.85,1
56,33.438374,144.291103,14.5585,0.786716,0.00041225,7.86,0
57,33.056135,135.223126,14.0367,0.800120,0.00039702,7.87,0
58,32.000343,127.858312,13.5999,0.811006,0.00038190,7.85,0
59,31.518828,142.328899,14.4878,0.789616,0.00036690,7.90,0
60,31.198655,138.123088,14.1351,0.795833,0.00035204,7.88,0
61,30.668334,141.603047,14.4049,0.790689,0.00033732,7.95,0
62,30.037865,143.353026,14.4610,0.788103,0.00032278,8.02,0
63,28.847042,128.299156,13.6035,0.810354,0.00030841,7.93,0
64,28.468323,135.312845,14.0111,0.799987,0.00029424,7.95,0
65,27.980489,138.103039,14.1519,0.795863,0.00028027,7.91,0
66,27.749495,131.203192,13.7112,0.806062,0.00026653,7.96,0
67,26.938854,134.537303,13.9354,0.801134,0.00025302,8.54,0
68,26.832477,143.261581,14.4940,0.788238,0.00023977,8.67,0
69,26.199564,144.083604,14.5376,0.787023,0.00022677,8.22,0
70,25.547281,135.431192,13.9475,0.799812,0.00021405,8.11,0
71,25.478932,147.274828,14.7854,0.782306,0.00020161,8.08,0
72,24.859915,138.318861,14.2265,0.795544,0.00018948,7.96,0
73,24.760585,176.892758,16.3553,0.738526,0.00017765,8.01,0
74,23.902624,154.610012,15.1394,0.771463,0.00016615,7.92,0
75,23.636516,128.018436,13.5386,0.810769,0.00015498,7.99,0
